genus,family,order,group,accepted_bin,mono_fern
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cuthbertsonii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cyclops,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cyperophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dallachiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dangarensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia microbotrya,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dawsonii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dealbata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia deanei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia debilis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia decora,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia decurrens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia delibrata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia demissa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dempsteri,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dentifera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia desertorum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia desmondii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia didyma,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dietrichiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia difficilis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia difformis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dimidiata,FALSE
Racosperma,Leguminosae,Fabales,Angiosperms,Racosperma disparrimum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia distans,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dodonaeifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dolichophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia donaldsonii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia doratoxylon,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia drepanophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia dunnii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia duriuscula,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia echinuliflora,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia effusifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia elachantha,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia elata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia elongata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia enervia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ensifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ephedroides,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia eremaea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia eriopoda,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia estrophiolata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia excelsa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia iguana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia verniciflua,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia falcata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia falciformis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia farnesiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia fasciculifera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia fauntleroyi,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia filicifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia filifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia fimbriata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia flavescens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia fleckeri,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia flocktoniae,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia floribunda,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia floydii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia frigescens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia fulva,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia galeata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gardneri,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia tetragonophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gentlei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia georgensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia georginae,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gibbosa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gillii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia glandulifera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia glaucocaesia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia glaucocarpa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gnidium,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gonocarpa,FALSE
